TF, Gene	Bulk	MicroArray
("Etv6", "Kcna3")	true	true
("Rorc", "Kcnmb4")	true	true
("Stat3", "Kctd12")	false	false
("Rorc", "Kctd12")	false	false
("Irf4", "Kctd17")	false	false
("Batf", "Kdelc1")	false	false
("Irf4", "Kif3a")	false	false
("Stat3", "Kif3a")	false	false
("Irf4", "Klf10")	false	false
("Stat3", "Klf10")	false	false
("Stat3", "Klf13")	false	false
("Batf", "Klf2")	true	true
("Batf", "Klf3")	false	false
("Irf4", "Klf4")	false	true
("Rorc", "Lactb")	false	false
("Batf", "Lbh")	false	false
("Fosl2", "Lbh")	true	false
("Hif1a", "Lbh")	false	false
("Batf", "Lgals1")	true	true
("Irf4", "Lgals1")	false	false
("Stat3", "Lgals1")	false	false
("Fosl2", "Lgals1")	false	false
("Irf4", "Lgals7")	false	false
("Fosl2", "Lgals7")	false	false
("Batf", "Lif")	false	false
("Irf4", "Lif")	true	true
("Stat3", "Lif")	true	true
("Rorc", "Lif")	true	true
("Hif1a", "Lif")	true	true
("Etv6", "Lif")	false	false
("Batf", "Lime1")	false	false
("Batf", "Lmna")	false	false
("Irf4", "Lmna")	true	true
("Stat3", "Lmna")	false	false
("Fosl2", "Lmna")	true	true
("Etv6", "Lmna")	false	false
("Fosl2", "Lpin2")	false	false
("Batf", "Lpp")	true	true
("Stat3", "Lpp")	true	true
("Batf", "Lpxn")	true	true
("Irf4", "Lpxn")	false	false
("Stat3", "Lpxn")	false	false
("Fosl2", "Lpxn")	false	false
("Batf", "Lrba")	true	true
("Irf4", "Lrba")	false	false
("Batf", "Lrmp")	true	true
("Irf4", "Lrmp")	false	false
("Stat3", "Lrmp")	false	false
("Irf4", "Lrrc59")	false	false
("Irf4", "Lrrfip1")	false	false
("Stat3", "Lrrfip1")	true	true
("Fosl2", "Lrrfip1")	false	false
("Batf", "Lsp1")	false	false
("Irf4", "Lsp1")	true	true
("Rorc", "Lsp1")	false	false
("Stat3", "Lta")	true	true
("Rorc", "Lta")	false	false
("Fosl2", "Lta")	false	false
("Hif1a", "Lta")	false	false
("Stat3", "Ltb")	true	false
("Fosl2", "Ltb")	true	false
("Hif1a", "Ltb")	true	false
("Rorc", "Ly6a")	false	false
("Fosl2", "Ly6a")	false	false
("Rorc", "Ly6c1")	false	false
("Fosl2", "Ly6c1")	false	false
("Rorc", "Maff")	false	false
("Hif1a", "Maff")	true	false
("Irf4", "Map3k1")	false	false
("Stat3", "Map3k1")	false	false
("Hif1a", "Map3k1")	true	false
("Stat3", "Map3k5")	true	true
("Rorc", "Map3k5")	false	false
("Batf", "Map3k8")	false	false
("Irf4", "Map3k8")	false	false
